Prospect ID,Lead,Initial Communication,Customer Evaluation,Negotiation,PO Received,Delivery,Payment
ProspectID 1001,1,1,1,1,1,1,1
ProspectID 1002,1,1,1,1,1,1,1
ProspectID 1003,0,0,0,0,0,0,0
ProspectID 1004,1,1,1,1,1,1,1
ProspectID 1005,1,0,0,0,0,0,0
ProspectID 1006,0,0,0,0,0,0,0
ProspectID 1007,1,1,0,0,0,0,0
ProspectID 1008,1,1,1,0,0,0,0
ProspectID 1009,0,0,0,1,0,0,0
ProspectID 1010,1,1,1,1,1,0,0
ProspectID 1011,1,0,1,0,1,1,0
ProspectID 1012,0,0,0,1,0,1,1
ProspectID 1013,1,1,1,0,1,0,1
ProspectID 1014,1,1,0,0,0,1,0
ProspectID 1015,0,0,0,0,0,0,1
ProspectID 1016,1,1,0,0,0,0,0
ProspectID 1017,1,0,1,1,0,0,0
ProspectID 1018,0,0,0,1,0,0,0
ProspectID 1019,1,1,1,0,1,0,0
ProspectID 1020,1,1,1,1,1,0,0
ProspectID 1021,0,0,0,0,0,1,0
ProspectID 1022,1,1,1,0,1,1,0
ProspectID 1023,1,0,0,0,0,0,1
ProspectID 1024,0,0,0,0,0,1,1
ProspectID 1025,1,1,0,1,0,0,0
ProspectID 1026,1,1,1,1,0,0,1
ProspectID 1027,0,0,0,0,0,0,0
ProspectID 1028,1,1,1,1,1,0,0
ProspectID 1029,1,0,1,0,1,0,0
ProspectID 1030,0,0,0,0,0,0,0
ProspectID 1031,1,1,1,0,1,1,0
ProspectID 1032,1,1,0,0,0,1,0
ProspectID 1033,0,0,0,1,0,0,0
ProspectID 1034,1,1,0,1,0,1,1
ProspectID 1035,1,0,1,0,0,0,1
ProspectID 1036,0,0,0,1,0,0,0
ProspectID 1037,1,1,1,0,1,0,1
ProspectID 1038,1,1,1,0,1,0,0
ProspectID 1039,0,0,0,0,0,0,0
ProspectID 1040,1,1,1,0,1,0,0
ProspectID 1041,1,0,0,1,0,1,0
ProspectID 1042,0,0,0,1,0,1,0
ProspectID 1043,1,1,0,0,0,0,0
ProspectID 1044,1,1,1,1,0,1,0
ProspectID 1045,0,0,0,0,0,0,1
ProspectID 1046,1,1,1,0,1,0,1
ProspectID 1047,1,0,1,0,1,0,0
ProspectID 1048,0,0,0,0,0,0,1
ProspectID 1049,1,1,1,1,1,0,0
ProspectID 1050,1,1,0,1,0,0,0
ProspectID 1051,0,0,0,0,0,1,0
ProspectID 1052,1,1,0,1,0,1,0
ProspectID 1053,1,0,1,0,0,0,0
ProspectID 1054,0,0,0,0,0,1,0
ProspectID 1055,1,1,1,0,1,0,0
ProspectID 1056,1,1,1,0,1,0,1
ProspectID 1057,0,0,0,1,0,0,1
ProspectID 1058,1,1,1,1,1,0,0
ProspectID 1059,1,0,0,0,0,0,1
ProspectID 1060,0,0,0,1,0,0,0
ProspectID 1061,1,1,0,0,0,1,0
ProspectID 1062,1,1,1,0,0,1,0
ProspectID 1063,0,0,0,0,0,0,0
ProspectID 1064,1,1,1,0,1,1,0
ProspectID 1065,1,0,1,1,1,0,0
ProspectID 1066,0,0,0,1,0,0,0
ProspectID 1067,1,1,1,0,1,0,1
ProspectID 1068,1,1,0,1,0,0,1
ProspectID 1069,0,0,0,0,0,0,0
ProspectID 1070,1,1,0,0,0,0,1
ProspectID 1071,1,0,1,0,0,1,0
ProspectID 1072,0,0,0,0,0,1,0
ProspectID 1073,1,1,1,1,1,0,0
ProspectID 1074,1,1,1,1,1,1,0
ProspectID 1075,0,0,0,0,0,0,0
ProspectID 1076,1,1,1,1,1,0,0
ProspectID 1077,1,0,0,0,0,0,0
ProspectID 1078,0,0,0,0,0,0,1
ProspectID 1079,1,1,0,0,0,0,1
ProspectID 1080,1,1,1,0,0,0,0
ProspectID 1081,0,0,0,1,0,1,1
ProspectID 1082,1,1,1,1,1,1,0
ProspectID 1083,1,0,1,0,1,0,0
ProspectID 1084,0,0,0,1,0,1,0
ProspectID 1085,1,1,1,0,1,0,0
ProspectID 1086,1,1,0,0,0,0,0
ProspectID 1087,0,0,0,0,0,0,0
ProspectID 1088,1,1,0,0,0,0,0
ProspectID 1089,1,0,1,1,0,0,1
ProspectID 1090,0,0,0,1,0,0,1
ProspectID 1091,1,1,1,0,1,1,0
ProspectID 1092,1,1,1,1,1,1,1
ProspectID 1093,0,0,0,0,0,0,0
ProspectID 1094,1,1,1,0,1,1,0
ProspectID 1095,1,0,0,0,0,0,0
ProspectID 1096,0,0,0,0,0,0,0
ProspectID 1097,1,1,0,1,0,0,0
ProspectID 1098,1,1,1,1,0,0,0
ProspectID 1099,0,0,0,0,0,0,0
ProspectID 1100,1,1,1,1,1,0,1
ProspectID 1101,1,0,1,0,1,1,1
ProspectID 1102,0,0,0,0,0,1,0
ProspectID 1103,1,1,1,0,1,0,1
ProspectID 1104,1,1,0,0,0,1,0
ProspectID 1105,0,0,0,1,0,0,0
ProspectID 1106,1,1,0,1,0,0,0
ProspectID 1107,1,0,1,0,0,0,0
ProspectID 1108,0,0,0,1,0,0,0
ProspectID 1109,1,1,1,0,1,0,0
ProspectID 1110,1,1,1,0,1,0,0
ProspectID 1111,0,0,0,0,0,1,1
ProspectID 1112,1,1,1,0,1,1,1
ProspectID 1113,1,0,0,1,0,0,0
ProspectID 1114,0,0,0,1,0,1,1
ProspectID 1115,1,1,0,0,0,0,0
ProspectID 1116,1,1,1,1,0,0,0
ProspectID 1117,0,0,0,0,0,0,0
ProspectID 1118,1,1,1,0,1,0,0
ProspectID 1119,1,0,1,0,1,0,0
ProspectID 1120,0,0,0,0,0,0,0
ProspectID 1121,1,1,1,1,1,1,0
ProspectID 1122,1,1,0,1,0,1,1
ProspectID 1123,0,0,0,0,0,0,1
ProspectID 1124,1,1,0,1,0,1,0
ProspectID 1125,1,0,1,0,0,0,1
ProspectID 1126,0,0,0,0,0,0,0
ProspectID 1127,1,1,1,0,1,0,0
ProspectID 1128,1,1,1,0,1,0,0
ProspectID 1129,0,0,0,1,0,0,0
ProspectID 1130,1,1,1,1,1,0,0
ProspectID 1131,1,0,0,0,0,1,0
ProspectID 1132,0,0,0,1,0,1,0
ProspectID 1133,1,1,0,0,0,0,1
ProspectID 1134,1,1,1,0,0,1,1
ProspectID 1135,0,0,0,0,0,0,0
ProspectID 1136,1,1,1,0,1,0,1
ProspectID 1137,1,0,1,1,1,0,0
ProspectID 1138,0,0,0,1,0,0,0
ProspectID 1139,1,1,1,0,1,0,0
ProspectID 1140,1,1,0,1,0,0,0
ProspectID 1141,0,0,0,0,0,1,0
ProspectID 1142,1,1,0,0,0,1,0
ProspectID 1143,1,0,1,0,0,0,0
ProspectID 1144,0,0,0,0,0,1,1
ProspectID 1145,1,1,1,1,1,0,1
ProspectID 1146,1,1,1,1,1,0,0
ProspectID 1147,0,0,0,0,0,0,1
ProspectID 1148,1,1,1,1,1,0,0
ProspectID 1149,1,0,0,0,0,0,0
ProspectID 1150,0,0,0,0,0,0,0
ProspectID 1151,1,1,0,0,0,1,0
ProspectID 1152,1,1,1,0,0,1,0
ProspectID 1153,0,0,0,1,0,0,0
ProspectID 1154,1,1,1,1,1,1,0
ProspectID 1155,1,0,1,0,1,0,1
ProspectID 1156,0,0,0,1,0,0,1
ProspectID 1157,1,1,1,0,1,0,0
ProspectID 1158,1,1,0,0,0,0,1
ProspectID 1159,0,0,0,0,0,0,0
ProspectID 1160,1,1,0,0,0,0,0
ProspectID 1161,1,0,1,1,0,1,0
ProspectID 1162,0,0,0,1,0,1,0
ProspectID 1163,1,1,1,0,1,0,0
ProspectID 1164,1,1,1,1,1,1,0
ProspectID 1165,0,0,0,0,0,0,0
ProspectID 1166,1,1,1,0,1,0,1
ProspectID 1167,1,0,0,0,0,0,1
